group,cluster,year,category,avg_exp_share,avg_exp_growth
Cluster 3,3.0,2021,CP04,0.019079605316628074,253939.55639484696
Cluster 3,3.0,2021,CP05,0.005274591300762481,69769.5589717113
Cluster 3,3.0,2021,CP06,0.010801298463570313,141999.56164696306
Cluster 3,3.0,2021,CP07,0.008477677964231344,130399.49515571613
Cluster 3,3.0,2021,CP08,0.004320526718420492,65104.51329244592
Cluster 3,3.0,2021,CP09,0.009265370316174821,128359.53950454664
Cluster 3,3.0,2021,CP10,0.0045453785292014146,59457.06431101734
Cluster 3,3.0,2021,CP11,0.013294885853783576,176749.55470506058
Cluster 3,3.0,2021,CP12,0.013359918306743742,175227.06414366627
Cluster 3,3.0,2022,CP01,0.024466650715851013,255601.4086532915
Cluster 3,3.0,2022,CP02,0.004493523932761302,61854.73920799468
Cluster 3,3.0,2022,CP03,0.007916600152081,125783.82504974488
Cluster 3,3.0,2022,CP04,0.01717769366619566,249050.22679858492
Cluster 3,3.0,2022,CP05,0.005056615691255961,72351.83187523374
Cluster 3,3.0,2022,CP06,0.01007437651915285,143141.5242099146
Cluster 3,3.0,2022,CP07,0.009897553673227205,163346.2727929444
Cluster 3,3.0,2022,CP08,0.004113781023214607,75862.56323464721
Cluster 3,3.0,2022,CP09,0.010632607171840782,160996.25888314963
Cluster 3,3.0,2022,CP10,0.004237796033998597,60332.36030327951
Cluster 3,3.0,2022,CP11,0.014107696209904706,190028.1308354399
Cluster 3,3.0,2022,CP12,0.012986585971830479,187372.79295817495
Cluster 3,3.0,2023,CP01,0.02438245942137848,688870.421518206
Cluster 3,3.0,2023,CP02,0.004524551465023,72762.83768976256
Cluster 3,3.0,2023,CP03,0.006883731747745009,133520.7052147336
Cluster 3,3.0,2023,CP04,0.017555704004351004,615387.4903611725
Cluster 3,3.0,2023,CP05,0.004787699059057977,78677.2957282017
Cluster 3,3.0,2023,CP06,0.01067387419787421,336705.80612100114
Cluster 3,3.0,2023,CP07,0.00994099120395267,147059.07271873142
Cluster 3,3.0,2023,CP08,0.003977726610583824,84466.40170897702
Cluster 3,3.0,2023,CP09,0.011421174557862545,173050.85997648592
Cluster 3,3.0,2023,CP10,0.004434362204306178,81294.01830281503
Cluster 3,3.0,2023,CP11,0.013538598688431602,148177.77961410262
Cluster 3,3.0,2023,CP12,0.013065810970972185,395653.4169415223
